id,Family,Sex_Num
F2_P5_1,1,2
F2_P5_2,1,1
F2_P5_3,1,2
F2_P5_4,1,1
F2_P5_5,1,2
F2_P5_6,1,2
F2_P5_7,1,2
F2_P5_8,1,2
F2_P5_9,1,2
F2_P5_10,1,1
F2_P5_11,1,2
F2_P5_12,1,1
F2_P5_13,1,2
F2_P5_14,1,2
F2_P5_15,1,1
F2_P5_16,1,2
F2_P5_17,1,1
F2_P5_18,1,1
F2_P5_19,1,1
F2_P5_20,1,1
F2_P5_21,1,2
F2_P5_22,1,2
F2_P5_23,1,1
F2_P5_24,1,2
F2_P5_25,1,2
F2_P5_26,1,2
F2_P5_27,1,2
F2_P5_28,1,2
F2_P5_29,1,1
F2_P5_30,1,2
F2_P5_31,1,1
F2_P5_32,1,1
F2_P5_33,1,1
F2_P5_34,1,2
F2_P5_35,1,1
F2_P5_36,1,1
F2_P5_37,1,1
F2_P5_38,1,1
F2_P5_39,1,1
F2_P5_40,1,1
F2_P5_41,1,2
F2_P5_42,1,2
F2_P5_43,1,2
F2_P5_44,1,1
F2_P5_45,1,2
F2_P5_46,1,2
F2_P5_47,1,2
F2_P5_48,1,2
F2_P5_49,1,2
F2_P5_50,1,2
F2_P6_1,2,2
F2_P6_2,2,1
F2_P6_3,2,2
F2_P6_4,2,1
F2_P6_5,2,2
F2_P6_6,2,2
F2_P6_7,2,2
F2_P6_8,2,2
F2_P6_9,2,2
F2_P6_10,2,1
F2_P6_11,2,1
F2_P6_12,2,2
F2_P6_13,2,1
F2_P6_14,2,1
F2_P6_15,2,2
F2_P6_16,2,1
F2_P6_17,2,1
F2_P6_18,2,2
F2_P6_19,2,2
F2_P6_20,2,2
F2_P6_21,2,1
F2_P6_22,2,2
F2_P6_23,2,2
F2_P6_24,2,1
F2_P6_25,2,2
F2_P6_26,2,2
F2_P6_27,2,2
F2_P6_28,2,2
F2_P6_29,2,2
F2_P6_30,2,2
F2_P6_31,2,2
F2_P6_32,2,2
F2_P6_33,2,1
F2_P6_34,2,1
F2_P6_35,2,2
F2_P6_36,2,2
F2_P6_37,2,2
F2_P6_38,2,2
F2_P6_39,2,1
F2_P6_40,2,1
F2_P6_41,2,2
F2_P6_42,2,1
F2_P6_43,2,2
F2_P6_44,2,1
F2_P6_45,2,2
F2_P6_46,2,1
F2_P6_47,2,1
F2_P6_48,2,1
F2_P6_49,2,1
F2_P6_50,2,1
F2_P7_1,2,2
F2_P7_2,2,2
F2_P7_3,2,2
F2_P7_4,2,2
F2_P7_5,2,2
F2_P7_6,2,1
F2_P7_7,2,1
F2_P7_8,2,1
F2_P7_9,2,2
F2_P7_10,2,1
F2_P7_11,2,2
F2_P7_12,2,2
F2_P7_13,2,1
F2_P7_14,2,2
F2_P7_15,2,1
F2_P7_16,2,2
F2_P7_17,2,2
F2_P7_18,2,2
F2_P7_19,2,2
F2_P7_20,2,1
F2_P7_21,2,2
F2_P7_22,2,1
F2_P7_23,2,2
F2_P7_24,2,1
F2_P7_25,2,1
F2_P7_26,2,2
F2_P7_27,2,1
F2_P7_28,2,1
F2_P7_29,2,2
F2_P7_30,2,1
F2_P7_31,2,1
F2_P7_32,2,2
F2_P7_33,2,1
F2_P7_34,2,1
F2_P7_35,2,2
F2_P7_36,2,2
F2_P7_37,2,1
F2_P7_38,2,1
F2_P7_39,2,1
F2_P7_40,2,2
F2_P7_41,2,1
F2_P7_42,2,1
F2_P7_43,2,2
F2_P7_44,2,1
F2_P7_45,2,2
F2_P7_46,2,1
F2_P7_47,2,2
F2_P7_48,2,1
