id,Speckling_Density,CV_DIFF
F2_P5_1,0.471180704,3.147107793
F2_P5_2,0,27.04043791
F2_P5_3,3.402717203,37.24680077
F2_P5_4,2.875071158,2.843491417
F2_P5_5,2.83010996,20.07435098
F2_P5_6,4.874701157,36.19937406
F2_P5_7,0.502391383,20.07719622
F2_P5_8,7.047982208,8.275886098
F2_P5_9,2.797073531,11.22983806
F2_P5_10,1.081871334,28.43306216
F2_P5_11,1.92635502,16.39905762
F2_P5_12,1.149799156,22.24484629
F2_P5_13,1.382315849,8.29059815
F2_P5_14,1.807668037,8.439132896
F2_P5_15,0,17.1353778
F2_P5_16,0.695709605,22.78970221
F2_P5_17,0,25.67558344
F2_P5_18,0,21.57717644
F2_P5_19,1.492751572,3.349157769
F2_P5_20,0.600128788,8.835588203
F2_P5_21,0,37.70000727
F2_P5_22,0,28.54736691
F2_P5_23,0.304260808,16.342256
F2_P5_24,0,11.97095103
F2_P5_25,1.317871624,8.780952542
F2_P5_26,0,29.60206715
F2_P5_27,5.71479446,27.82211126
F2_P5_28,2.073650537,12.59606269
F2_P5_29,0,30.93428396
F2_P5_30,0,21.22142413
F2_P5_31,0.749469844,15.53481731
F2_P5_32,1.402229545,39.27401159
F2_P5_33,1.6216786,10.29816451
F2_P5_34,5.490430911,24.5648909
F2_P5_35,0,8.722784014
F2_P5_36,0,34.08424367
F2_P5_37,0,19.81954678
F2_P5_38,0.353983178,34.87973545
F2_P5_39,0,21.50880582
F2_P5_40,2.066563173,5.133146637
F2_P5_41,4.262358752,12.8049988
F2_P5_42,4.829060054,10.67873882
F2_P5_43,0.95878024,19.84411303
F2_P5_44,1.349975025,15.74007356
F2_P5_45,0.869429983,21.61779329
F2_P5_46,7.686718807,23.34290334
F2_P5_47,1.95204953,11.05243116
F2_P5_48,2.655950791,25.34634104
F2_P5_49,4.414298674,11.08320961
F2_P5_50,5.343660945,24.74913748
F2_P6_1,2.252390913,12.75911187
F2_P6_2,2.782065139,36.6689288
F2_P6_3,2.042255203,11.4104417
F2_P6_4,0,40.41269387
F2_P6_5,10.21355438,36.38975071
F2_P6_6,6.536346712,71.553126
F2_P6_7,5.66092743,7.210318531
F2_P6_8,14.03595262,27.41373658
F2_P6_9,12.46942764,13.12680762
F2_P6_10,0.27096871,41.61691525
F2_P6_11,5.954089391,45.37660747
F2_P6_12,2.962565028,1.476147973
F2_P6_13,NA,7.438537632
F2_P6_14,1.098384496,34.33531547
F2_P6_15,5.60450363,40.39262106
F2_P6_16,0,78.03763801
F2_P6_17,0,83.03626982
F2_P6_18,7.151074494,1.532755138
F2_P6_19,5.891582365,32.60382786
F2_P6_20,3.639279471,49.28606137
F2_P6_21,2.169986626,78.10900335
F2_P6_22,18.7947164,43.23197889
F2_P6_23,7.063846577,80.57565229
F2_P6_24,1.317284707,57.90393121
F2_P6_25,0.453611222,54.03365979
F2_P6_26,1.273600886,52.89168434
F2_P6_27,4.936952868,99.44906342
F2_P6_28,9.384828932,48.52427882
F2_P6_29,2.321876293,21.60344096
F2_P6_30,0.641165382,54.68342199
F2_P6_31,6.420012635,28.54122018
F2_P6_32,6.492231234,45.55955308
F2_P6_33,7.125913305,12.70499873
F2_P6_34,4.887179462,38.36908925
F2_P6_35,0.820861876,46.88048428
F2_P6_36,5.23660372,14.85671025
F2_P6_37,12.42587564,19.17933388
F2_P6_38,1.402805611,27.91763695
F2_P6_39,0.80423521,12.5657343
F2_P6_40,8.562683276,11.12380054
F2_P6_41,5.880978495,45.34472593
F2_P6_42,1.775406886,23.33668044
F2_P6_43,0.919748565,52.26587951
F2_P6_44,3.38836174,47.93977997
F2_P6_45,4.338149499,4.646013639
F2_P6_46,4.021407433,35.13821689
F2_P6_47,0,34.69287619
F2_P6_48,1.670299568,90.88581573
F2_P6_49,0.299192703,47.91203449
F2_P6_50,2.025469605,57.71284307
F2_P7_1,6.697252729,36.6934231
F2_P7_2,13.07965026,23.97671878
F2_P7_3,11.49349928,24.40137926
F2_P7_4,10.81507153,2.836097917
F2_P7_5,6.309907553,42.52222732
F2_P7_6,8.029653935,25.28221199
F2_P7_7,0.650632762,50.49399613
F2_P7_8,1.793073893,40.73210989
F2_P7_9,1.340823814,47.72213382
F2_P7_10,5.026756588,54.56094154
F2_P7_11,7.03615781,15.91098757
F2_P7_12,0.674275036,47.10417439
F2_P7_13,1.890582536,25.83215554
F2_P7_14,2.484844225,61.93613993
F2_P7_15,NA,46.87922792
F2_P7_16,1.18723814,36.88440901
F2_P7_17,NA,NA
F2_P7_18,2.932047837,60.58585706
F2_P7_19,5.232355037,65.20595125
F2_P7_20,3.227467035,41.5328118
F2_P7_21,8.626273454,91.76869523
F2_P7_22,2.43150189,75.35383972
F2_P7_23,1.071044239,63.81226419
F2_P7_24,2.846665649,71.65172925
F2_P7_25,1.932168199,58.15938854
F2_P7_26,1.322660929,67.36795734
F2_P7_27,0,34.15318956
F2_P7_28,0,63.59688731
F2_P7_29,0,53.96995396
F2_P7_30,0,90.89664689
F2_P7_31,0,35.77745797
F2_P7_32,3.401474137,66.38166804
F2_P7_33,0,34.61638034
F2_P7_34,1.750784059,83.43163473
F2_P7_35,0.58467907,50.73480164
F2_P7_36,1.119010392,48.1807508
