"","Individual","New.ID","sire","dam","New_sire","New_dam"
"1","F1_P10_1",1,"Pa_FW4M","Pa_FW4F",1258,1257
"2","F1_P10_10",2,"Pa_FW4M","Pa_FW4F",1258,1257
"3","F1_P10_11",3,"Pa_FW4M","Pa_FW4F",1258,1257
"4","F1_P10_12",4,"Pa_FW4M","Pa_FW4F",1258,1257
"5","F1_P10_13",5,"Pa_FW4M","Pa_FW4F",1258,1257
"6","F1_P10_14",6,"Pa_FW4M","Pa_FW4F",1258,1257
"7","F1_P10_15",7,"Pa_FW4M","Pa_FW4F",1258,1257
"8","F1_P10_16",8,"Pa_FW4M","Pa_FW4F",1258,1257
"9","F1_P10_17",9,"Pa_FW4M","Pa_FW4F",1258,1257
"10","F1_P10_18",10,"Pa_FW4M","Pa_FW4F",1258,1257
"11","F1_P10_19",11,"Pa_FW4M","Pa_FW4F",1258,1257
"12","F1_P10_2",12,"Pa_FW4M","Pa_FW4F",1258,1257
"13","F1_P10_20",13,"Pa_FW4M","Pa_FW4F",1258,1257
"14","F1_P10_21",14,"Pa_FW4M","Pa_FW4F",1258,1257
"15","F1_P10_22",15,"Pa_FW4M","Pa_FW4F",1258,1257
"16","F1_P10_23",16,"Pa_FW4M","Pa_FW4F",1258,1257
"17","F1_P10_24",17,"Pa_FW4M","Pa_FW4F",1258,1257
"18","F1_P10_25",18,"Pa_FW4M","Pa_FW4F",1258,1257
"19","F1_P10_26",19,"Pa_FW4M","Pa_FW4F",1258,1257
"20","F1_P10_27",20,"Pa_FW4M","Pa_FW4F",1258,1257
"21","F1_P10_28",21,"Pa_FW4M","Pa_FW4F",1258,1257
"22","F1_P10_29",22,"Pa_FW4M","Pa_FW4F",1258,1257
"23","F1_P10_3",23,"Pa_FW4M","Pa_FW4F",1258,1257
"24","F1_P10_30",24,"Pa_FW4M","Pa_FW4F",1258,1257
"25","F1_P10_31",25,"Pa_FW4M","Pa_FW4F",1258,1257
"26","F1_P10_4",26,"Pa_FW4M","Pa_FW4F",1258,1257
"27","F1_P10_5",27,"Pa_FW4M","Pa_FW4F",1258,1257
"28","F1_P10_6",28,"Pa_FW4M","Pa_FW4F",1258,1257
"29","F1_P10_7",29,"Pa_FW4M","Pa_FW4F",1258,1257
"30","F1_P10_8",30,"Pa_FW4M","Pa_FW4F",1258,1257
"31","F1_P10_9",31,"Pa_FW4M","Pa_FW4F",1258,1257
"32","F1_P11_1",32,"Pa_FW1M","Pa_FW1F",1254,1253
"33","F1_P11_10",33,"Pa_FW1M","Pa_FW1F",1254,1253
"34","F1_P11_11",34,"Pa_FW1M","Pa_FW1F",1254,1253
"35","F1_P11_12",35,"Pa_FW1M","Pa_FW1F",1254,1253
"36","F1_P11_13",36,"Pa_FW1M","Pa_FW1F",1254,1253
"37","F1_P11_14",37,"Pa_FW1M","Pa_FW1F",1254,1253
"38","F1_P11_15",38,"Pa_FW1M","Pa_FW1F",1254,1253
"39","F1_P11_16",39,"Pa_FW1M","Pa_FW1F",1254,1253
"40","F1_P11_17",40,"Pa_FW1M","Pa_FW1F",1254,1253
"41","F1_P11_18",41,"Pa_FW1M","Pa_FW1F",1254,1253
"42","F1_P11_19",42,"Pa_FW1M","Pa_FW1F",1254,1253
"43","F1_P11_2",43,"Pa_FW1M","Pa_FW1F",1254,1253
"44","F1_P11_20",44,"Pa_FW1M","Pa_FW1F",1254,1253
"45","F1_P11_21",45,"Pa_FW1M","Pa_FW1F",1254,1253
"46","F1_P11_3",46,"Pa_FW1M","Pa_FW1F",1254,1253
"47","F1_P11_4",47,"Pa_FW1M","Pa_FW1F",1254,1253
"48","F1_P11_5",48,"Pa_FW1M","Pa_FW1F",1254,1253
"49","F1_P11_6",49,"Pa_FW1M","Pa_FW1F",1254,1253
"50","F1_P11_7",50,"Pa_FW1M","Pa_FW1F",1254,1253
"51","F1_P11_8",51,"Pa_FW1M","Pa_FW1F",1254,1253
"52","F1_P11_9",52,"Pa_FW1M","Pa_FW1F",1254,1253
"53","F1_P12_1",53,"Pa_FW2M","Pa_FW2F",1256,1255
"54","F1_P12_10",54,"Pa_FW2M","Pa_FW2F",1256,1255
"55","F1_P12_11",55,"Pa_FW2M","Pa_FW2F",1256,1255
"56","F1_P12_12",56,"Pa_FW2M","Pa_FW2F",1256,1255
"57","F1_P12_13",57,"Pa_FW2M","Pa_FW2F",1256,1255
