id,momid,dadid,sex
275,3,2,1
279,18,2,1
284,19,20,1
285,29,26,1
288,18,15,1
290,19,23,1
296,29,31,1
306,19,8,1
307,24,8,1
308,19,28,1
315,3,16,1
319,19,20,1
325,37,40,1
326,52,40,1
327,49,39,1
328,51,40,1
329,47,42,1
330,37,42,1
331,52,40,1
335,52,41,1
336,34,42,1
337,32,39,1
338,36,41,1
339,36,39,1
344,32,42,1
346,52,44,1
347,51,40,1
351,47,46,1
352,48,41,1
353,48,41,1
354,51,46,1
355,34,44,1
357,32,39,1
358,49,39,1
359,50,39,1
362,51,39,1
363,36,39,1
364,51,40,1
365,49,39,1
371,36,40,1
372,50,39,1
373,50,39,1
375,54,78,1
377,53,58,1
379,64,61,1
381,81,72,1
383,65,78,1
390,55,72,1
391,68,58,1
393,59,78,1
394,54,78,1
396,75,58,1
397,54,61,1
398,75,58,1
400,54,78,1
406,56,58,1
408,75,58,1
409,65,74,1
410,71,70,1
411,53,72,1
413,65,79,1
415,59,70,1
421,77,70,1
422,54,78,1
423,60,72,1
424,65,78,1
476,114,131,1
478,117,133,1
481,120,128,1
483,114,133,1
485,117,140,1
489,120,131,1
490,117,124,1
492,123,124,1
500,130,136,1
501,137,143,1
504,137,134,1
510,123,136,1
511,118,141,1
514,139,140,1
515,118,134,1
518,114,128,1
520,114,126,1
521,139,126,1
522,117,126,1
524,114,128,1
526,152,145,1
527,155,145,1
529,155,160,1
535,147,157,1
536,159,145,1
538,149,144,1
539,161,145,1
540,156,160,1
541,161,157,1
542,163,146,1
544,163,146,1
545,149,146,1
549,164,145,1
557,164,145,1
558,150,145,1
559,147,157,1
561,147,157,1
562,158,145,1
563,158,160,1
564,162,160,1
565,152,157,1
566,153,146,1
567,164,145,1
568,155,145,1
569,158,154,1
570,155,145,1
571,155,145,1
572,155,145,1
575,167,176,1
578,183,173,1
581,167,182,1
582,189,182,1
584,180,179,1
586,183,182,1
587,167,173,1
589,180,173,1
590,177,179,1
591,167,182,1
592,168,187,1
593,167,176,1
594,167,173,1
595,189,182,1
596,183,187,1
597,183,174,1
600,167,187,1
601,167,182,1
602,184,176,1
603,189,174,1
607,188,182,1
609,175,182,1
611,175,182,1
616,175,182,1
618,168,182,1
619,189,182,1
620,191,182,1
621,177,182,1
622,168,173,1
624,186,192,1
625,201,208,1
627,201,202,1
629,201,197,1
630,201,206,1
631,199,197,1
632,201,197,1
633,207,206,1
635,199,206,1
637,194,197,1
640,193,208,1
643,201,206,1
644,196,197,1
647,199,197,1
650,199,197,1
651,195,197,1
655,201,197,1
656,201,197,1
659,194,206,1
661,195,206,1
663,203,208,1
665,201,197,1
666,204,211,1
667,199,197,1
671,196,197,1
672,200,197,1
673,199,197,1
675,236,223,1
676,221,223,1
679,239,242,1
683,221,223,1
687,234,238,1
689,216,227,1
690,219,222,1
691,221,231,1
694,234,238,1
695,216,225,1
704,229,224,1
705,217,215,1
706,218,235,1
708,234,223,1
714,239,242,1
715,243,230,1
717,221,223,1
718,221,223,1
720,234,230,1
276,19,16,2
277,3,16,2
278,29,28,2
280,29,31,2
281,29,15,2
282,19,16,2
283,7,8,2
286,3,2,2
287,18,28,2
289,19,13,2
291,19,8,2
292,19,8,2
293,18,13,2
294,17,30,2
295,29,8,2
297,18,16,2
298,24,8,2
299,29,12,2
300,18,2,2
301,7,8,2
302,7,2,2
303,29,16,2
304,25,2,2
305,19,2,2
309,19,16,2
310,19,28,2
311,24,2,2
312,18,16,2
313,18,2,2
314,27,16,2
316,24,30,2
317,3,16,2
318,17,16,2
320,19,20,2
321,27,22,2
322,3,2,2
323,3,2,2
324,3,16,2
332,50,40,2
333,47,41,2
334,48,43,2
340,50,44,2
341,47,46,2
342,32,39,2
343,47,39,2
345,48,43,2
348,36,40,2
349,47,39,2
350,32,39,2
356,47,42,2
361,47,43,2
366,47,42,2
367,37,42,2
368,47,39,2
369,34,39,2
370,49,39,2
374,49,39,2
376,54,78,2
378,65,78,2
380,68,78,2
382,54,61,2
384,68,74,2
385,77,70,2
386,64,78,2
387,81,72,2
388,71,74,2
389,53,72,2
392,75,72,2
395,59,74,2
399,64,72,2
401,65,74,2
402,77,70,2
403,66,72,2
404,59,78,2
405,81,72,2
407,77,74,2
412,63,78,2
414,75,79,2
416,75,79,2
417,81,72,2
418,81,70,2
419,75,58,2
420,66,61,2
475,114,126,2
